Equipment County,Equipment Borough,Equipment Street No.,Equipment Street Address,Equipment City,Equipment Zip Code,Equip. Unique ID,Intended Use,Manufacturer,Model,Cooling Capacity,Cooling Capacity Unit,Commissioned Date,Inspection Date,Date of Bacteriological Sample Collection,Date of Legionella Sample Collection ,"Last Legionella Sample Result > 1,000 CFU/mL",Location 1
New York,Manhattan,1301,Avenue of the Americas,New York,10019,1587,Air Conditioning,Foster Wheeller ,3428CT,20000,BTU,2/2/63,11/20/15,,,no,"(40.761576187, -73.979557706)"
New York,Manhattan,118-21,Queens Boulevard,Forest Hills,11375,10462,Air Conditioning,Marley Company,111,200,Tonnage,4/3/63,5/3/17,5/17/17,5/10/17,no,"(40.714900124171855, -73.83139494062732)"
New York,Manhattan,345,East 56th Street,New York,10022,6762,Air Conditioning,Marley,95-85-78,3,Tonnage,5/1/63,9/4/15,9/4/15,9/4/15,no,"(40.757854029, -73.963667162)"
Monroe,,180,State St,Brockport,14420,970,Refrigeration,Forsielle,300A,202,Tonnage,6/1/63,8/8/17,7/13/17,8/8/17,no,"(43.21225493701311, -77.92901791269781)"
New York,Manhattan,200,Park Ave,New York,10017,2129,Air Conditioning,Marley,8B-666CS,20000,Tonnage,6/1/63,5/17/17,6/2/17,5/12/17,no,"(40.75414718878232, -73.97680278951958)"
New York,Manhattan,90,Park Avenue,New York,10016,2201,Air Conditioning,Marley Cooling Tower,Series CS,3000,Tonnage,6/1/63,5/10/17,5/10/17,5/10/17,no,"(40.750799019, -73.978945669)"
New York,Manhattan,770,Lexington Avenue,New York,10065,8730,Air Conditioning,Evapco,AT 12-126,,BTU,6/15/63,6/1/17,5/31/17,6/1/17,no,"(40.7631130074991, -73.96772393135174)"
New York,Manhattan,623,5th Avenue,New York,10022,3596,Air Conditioning,Marley,222-623,1800,Tonnage,6/17/63,4/18/17,4/18/17,4/18/17,no,"(40.758104376, -73.976433736)"
Westchester,,255,North Ave,New Rochelle,10801,9763,Air Conditioning,tower,na,50,Tonnage,8/8/63,,,,no,"(40.91166368439341, -73.78173977568589)"
New York,Manhattan,777,Third Ave,New York,10017,7227,Refrigeration,Phillips,3DA265,3000,Tonnage,9/1/63,6/27/16,9/7/17,7/18/17,no,"(40.75480374069386, -73.97123595861694)"
New York,Manhattan,139,East 63 street,New York,10065,8815,Air Conditioning,Marley,8312,,BTU,9/1/63,8/17/15,,,no,"(40.764713652904504, -73.96600624402633)"
New York,Manhattan,1335,Avenue of the Americas,New York,10019,4846,Air Conditioning,Marely,458-114,,CFM,9/2/63,12/28/16,12/14/16,12/14/16,no,"(40.76245547650395, -73.97862749960409)"
Monroe,,2400,West Ridge Road,Rochester,14626,7167,Air Conditioning,Baltimore Air Coil,C1732H,40,Tonnage,9/2/63,,,,no,"(43.209762045, -77.691852175)"
Westchester,,119,Pondfield Road,Bronxville,10708,9765,Air Conditioning,plate missing,not available,50,Tonnage,9/2/63,7/1/15,,,no,"(40.93869488638977, -73.83222944166078)"
Madison,,44,Chenango St,Morrisville,13408,4535,Air Conditioning,BAC,FXT-87,100,Tonnage,9/12/63,5/22/17,6/1/17,8/11/17,no,"(42.89360088266376, -75.64145385105578)"
New York,Manhattan,1212,6th ave,New York,10036,25,Air Conditioning,phillips,2da24s,1200,Tonnage,10/1/63,8/20/15,,,no,"(40.75835329195552, -73.98132959671886)"
New York,Manhattan,60,West 57th St,New York,10019,7282,Air Conditioning,Marley,NC8918,,BTU,10/1/63,9/3/15,8/11/15,8/11/15,yes,"(40.76404769, -73.976993856)"
New York,Manhattan,160,West End Avenue,New York,10023,4839,Air Conditioning,Phillips,2DA225 ,650,Tonnage,11/1/63,6/1/17,6/1/17,5/12/17,no,"(40.77620083405635, -73.98498504534894)"
New York,Manhattan,195,Broadway,New York,10007,1257,Air Conditioning,Marley,Unknown Main Tower,1800,Tonnage,12/1/63,5/4/16,4/2/16,4/2/16,no,"(40.710705885, -74.009407972)"
New York,Manhattan,605,3 Ave,New York,10016,1305,Air Conditioning,Marley,39-003,3000,Tonnage,1/1/64,8/18/16,8/18/16,8/15/15,no,"(40.74920312684748, -73.97532652372989)"
New York,Manhattan,225,East 57 Street,New York,10022,3068,Air Conditioning,Marley,N/A,300,Tonnage,1/1/64,4/28/17,6/18/17,5/1/17,no,"(40.759997358, -73.966518641)"
New York,Manhattan,205-215,Lexington Ave,New York,10016,5167,Refrigeration,Marley Tower,205Lex-2015,400,Tonnage,1/1/64,10/28/16,,,no,"(40.74540104980045, -73.98035614138234)"
Allegany,,10,Upper College Dr,Alfred,14802,5485,Air Conditioning,Baltimore Air Coil Company,VTO-041-JC,41,Tonnage,1/1/64,6/9/17,6/9/17,6/9/17,no,"(42.258725409081556, -77.79113457498917)"
New York,Manhattan,277,Park Avenue,New York,10017,1845,Air Conditioning,Marley,Series CS,13200,Tonnage,5/1/64,5/23/17,9/8/17,8/16/17,no,"(40.75543843, -73.974708048)"
New York,Manhattan,110,Wall Street,New York,10005,8573,Air Conditioning,Philips,N/A,,BTU,5/5/64,3/2/16,,,no,"(40.704781910705464, -74.00652288108486)"
Oswego,,510,South 4th Street,Fulton,13069,5706,Air Conditioning,BAC,PT2-0709A-1J1,125,Tonnage,9/1/64,8/3/17,8/3/17,7/12/17,no,"(43.314970581097334, -76.40658272898673)"
New York,Manhattan,230,East 79th Street,New York,10075,10296,Air Conditioning,N/A,N/A,150,Tonnage,9/1/64,9/1/16,9/1/16,9/1/16,no,"(40.77361478656158, -73.95610138688701)"
